Id 	  source 	    destination 	  date 	    time 	        network	    status 
1    86876786     878979723   1/16/2021   3:31:22 PM       jio         failed
2    86876786     878979723   1/16/2021   3:31:22 PM       airtel      Success
3    86876786     878979723   1/16/2021   3:31:22 PM       airtel      Success
4    86876786     878979723   1/16/2021   3:31:22 PM       idea        failed
5    86876786     878979723   1/16/2021   3:31:22 PM       airtel      failed
6    86876786     878979723   1/16/2021   3:31:22 PM       airtel      failed
7    86876786     878979723   1/16/2021   3:31:22 PM       airtel      failed
8    86876786     878979723   1/16/2021   3:31:22 PM       airtel      Dailed
9    86876786     878979723   1/16/2021   3:31:22 PM       airtel      missed
10   86876786     878979723   1/16/2021   3:31:22 PM       airtel     Success
11   86876786     878979723   1/16/2021   3:31:22 PM       idea       Success
12   86876786     878979723   1/16/2021   3:31:22 PM       jio        Success
